IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.145.245,2095,2095,false,SIN,Asia Pacific,Singapore,11,12.94
8.222.249.98,443,443,true,SIN,Asia Pacific,Singapore,74,12.94
47.245.15.236,2053,2053,true,NRT,Asia Pacific,Tokyo,155,12.94
47.245.89.102,2082,2082,false,SIN,Asia Pacific,Singapore,15,12.94
47.245.59.244,2052,2052,false,NRT,Asia Pacific,Tokyo,73,12.94
8.219.93.5,2096,2096,true,SIN,Asia Pacific,Singapore,79,12.93
8.219.11.158,2087,2087,true,SIN,Asia Pacific,Singapore,41,12.93
8.222.255.15,443,443,true,SIN,Asia Pacific,Singapore,97,12.93
8.219.240.160,2052,2052,false,SIN,Asia Pacific,Singapore,12,12.92
8.219.152.195,2083,2083,true,SIN,Asia Pacific,Singapore,143,12.92
8.219.142.191,2087,2087,true,SIN,Asia Pacific,Singapore,65,12.92
8.219.126.240,2082,2082,false,SIN,Asia Pacific,Singapore,11,12.92
8.219.206.53,443,443,true,SIN,Asia Pacific,Singapore,127,12.91
47.74.34.162,2087,2087,true,NRT,Asia Pacific,Tokyo,67,12.91
8.219.51.211,8880,8880,false,SIN,Asia Pacific,Singapore,10,12.91
8.219.183.31,2086,0,false,SIN,Asia Pacific,Singapore,2,12.91
8.219.1.92,2095,2095,false,SIN,Asia Pacific,Singapore,14,12.90
8.219.78.1,8880,8880,false,SIN,Asia Pacific,Singapore,7,12.90
47.245.84.155,2086,2086,false,SIN,Asia Pacific,Singapore,7,12.90
47.245.53.101,2083,2083,true,NRT,Asia Pacific,Tokyo,171,12.89
8.222.144.117,443,443,true,SIN,Asia Pacific,Singapore,126,12.89
8.222.223.34,443,443,true,SIN,Asia Pacific,Singapore,99,12.89
47.91.18.207,8880,8880,false,NRT,Asia Pacific,Tokyo,76,12.89
8.219.75.44,2087,2087,true,SIN,Asia Pacific,Singapore,47,12.89
8.219.220.88,2087,2087,true,SIN,Asia Pacific,Singapore,82,12.89
8.219.99.169,2083,2083,true,SIN,Asia Pacific,Singapore,86,12.89
47.245.11.216,2086,2086,false,NRT,Asia Pacific,Tokyo,71,12.89
47.236.121.23,80,80,false,SIN,Asia Pacific,Singapore,21,12.89
47.236.171.112,2083,2083,true,SIN,Asia Pacific,Singapore,61,12.89
8.219.78.1,2086,2086,false,SIN,Asia Pacific,Singapore,9,12.88
47.245.9.228,2087,2087,true,NRT,Asia Pacific,Tokyo,208,12.88
47.91.22.115,2096,2096,true,NRT,Asia Pacific,Tokyo,97,12.88
8.222.198.105,8880,8880,false,SIN,Asia Pacific,Singapore,13,12.88
8.219.173.195,2082,2082,false,SIN,Asia Pacific,Singapore,3,12.88
47.245.13.93,2082,2082,false,NRT,Asia Pacific,Tokyo,72,12.88
8.222.222.64,8443,8443,true,SIN,Asia Pacific,Singapore,92,12.87
47.236.169.141,2087,2087,true,SIN,Asia Pacific,Singapore,106,12.87
8.219.134.117,8880,8880,false,SIN,Asia Pacific,Singapore,13,12.87
8.219.237.250,2096,2096,true,SIN,Asia Pacific,Singapore,113,12.86
8.219.98.13,2087,2087,true,SIN,Asia Pacific,Singapore,98,12.86
8.222.140.87,8443,8443,true,SIN,Asia Pacific,Singapore,94,12.86
8.219.74.35,2053,2053,true,SIN,Asia Pacific,Singapore,146,12.86
47.245.58.175,2095,2095,false,NRT,Asia Pacific,Tokyo,74,12.86
